"Indicators","BNC","BPH","BUH","CAPITALBK","SOGEBK","UNIBNK","SOGEBL","CBNA","TOTAL","Parts1_fr","Parts2_fr","Parts1_en","Parts2_en","Date","SCOTIA","BICH","SOCABK","PROMOBK","SOCABL","BHD..","BHD"
"ACTIF_LIQUIDE_encaisse",3527056,296131.89961,911980.505631775,966863,3387712.22689,3330080.35770894,67219.84225,35320,12522363.8320907,"Actif","Actif liquide","Asset","Liquid asset","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_avoirs_a_la_brh",35766230,1521012.79145,16149605.894437,14461309,49370654.91632,75394417.4354372,1496700.67328,4439023,198598953.710924,"Actif","Actif liquide","Asset","Liquid asset","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_avoirs_a_l'etranger",2660092,0,1364099.72098283,5558614,9628041.32569,19096774.3368415,0,552701,38860322.3835143,"Actif","Actif liquide","Asset","Liquid asset","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_avoirs_dans_les_banques_locales",0,0,84328.688359958,31621,11048.41,2.37455444294028e-09,236407.84714,0,363405.94549996,"Actif","Actif liquide","Asset","Liquid asset","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_autres_liquidites",538450,11734.87537,48.341,134420,114311.25438,737278.819993684,6988.6967,106277,1649508.98744368,"Actif","Actif liquide","Asset","Liquid asset","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_bons_b.r.h.",8e+05,0,0,0,5500000,0,0,0,6300000,"Actif","Actif illiquide","Asset","Non-liquid asset","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_bons_du_tresor_/_m.e.f.",20600000,1565000,0,0,0,7550000,0,0,29715000,"Actif","Actif illiquide","Asset","Non-liquid asset","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_autres_placements",15302454,0,5879008.2232144,3868880,22700012.23531,33791025.814736,1947287.27127,0,83488667.5445304,"Actif","Actif illiquide","Asset","Non-liquid asset","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_portefeuille_net",24192121,301918.07063,13391292.2474999,12071898,36854833.95782,40241685.21874,4805310.62072,96667,131955726.11541,"Actif","Actif illiquide","Asset","Non-liquid asset","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_immobilisations",2959550,350682.92632,1030060.63537,1173813,4088116.92104,3080944.37777,626101.95165,268082,13577351.81215,"Actif","Actif illiquide","Asset","Non-liquid asset","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_autres_actifs",2513502,973187.89194,1002789.40131502,1263072,6075210.58577,2470940.93559556,1256642.82565,36938,15592283.6402706,"Actif","Actif illiquide","Asset","Non-liquid asset","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"DÉPÔT_a_vue",41016533,1887642.46684,13879708.5852207,14240123,52065568.9171979,71587322.7161101,3034178.36791,3474785,201185862.053279,"Passif","Dépôt","Liability","Deposit","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"DÉPÔT_epargne",30548090,530021.06429,6881361.23315248,7872921,37082272.9007524,64599656.2840406,972042.92242,607299,149093664.404656,"Passif","Dépôt","Liability","Deposit","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"DÉPÔT_a_terme",10924285,1794272.22827,11615199.367836,9319383,22048046.3741602,24341820.6372711,2887906.77702,4422,82935335.3845573,"Passif","Dépôt","Liability","Deposit","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"OBLIGATIONS_À_VUE_banques_locales",0,0,0,300000,0,0,0,0,3e+05,"Passif","Obligations à vue","Liability","Demand bonds","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"OBLIGATIONS_À_VUE_banques_a_l'etranger",0,0,0,0,0,0,0,0,0,"Passif","Obligations à vue","Liability","Demand bonds","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"OBLIGATIONS_À_VUE_autres",2834674,237380.48212,1403588.0391409,1288152,6095905.49696,4531688.06347762,147782.98613,867927,17407098.0678285,"Passif","Obligations à vue","Liability","Demand bonds","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"OBLIGATIONS_À_TERME_banques_locales",7289925,0,1795605.81531,552436,5097563.80568,3335600.78599,1747542.04506,0,19818673.45204,"Passif","Obligations à terme","Liability","Term bonds","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"OBLIGATIONS_À_TERME_banque_a_l'etranger",0,0,0,0,0.41944,0,0,0,0.41944,"Passif","Obligations à terme","Liability","Term bonds","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"OBLIGATIONS_À_TERME_autres",5882939,916604.07276,507758.892003952,226021,1216992.31308,1697761.66343188,304130.19981,96872,10849079.1410858,"Passif","Obligations à terme","Liability","Term bonds","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"AUTRES_PASSIFS_autres_passifs",1231467,24125.14822,277952.143472593,1418316,3672938.06529,1668954.66966989,401097.07229,0,8694850.09894249,"Passif","Autres passifs","Liability","Other liabilities","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"FONDS_PROPRES_capital_verse",3e+06,165000,729186.76157,810000,3e+06,6300687.5,3e+05,103837,14408711.26157,"Fonds propres","Fonds propres","Equity","Equity","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"FONDS_PROPRES_reserves",2106357,150488.951,294604.93022,605876,2131701.77986,1778707.62408,303641.9944,59288,7430666.27956,"Fonds propres","Fonds propres","Equity","Equity","2021-12-01",NA,NA,NA,NA,NA,NA,NA
